geneId,diseaseId,Label
1051,C1832322,0
29127,C4551623,0
70,C3150681,1
5187,C1837822,0
10125,C0014175,1
57381,C1836683,0
10413,C1863239,0
92749,C1865267,0
9935,C1301355,0
26037,C0043094,1
3043,C0238358,0
801,C0002395,1
1906,C0268849,1
4745,C0162531,0
117155,C4540520,0
7922,C0376297,0
169522,C1835897,1
5076,C0035333,0
9152,C0011303,0
718,C0086445,1
6505,C0431380,1
79718,C0154091,1
55328,C2931456,1
4544,C2750893,0
10916,C2931779,0
6469,C3495438,0
840,C0027055,1
3568,C0020517,1
6648,C0268583,1
3982,C0271972,0
8825,C0024667,1
5395,C4321324,1
7389,C0018200,0
4843,C0027540,1
1356,C0003865,1
4690,C4540411,0
6326,C0010273,0
6563,C0543663,1
10483,C0033581,0
6608,C0259785,1
6323,C3810343,0
177,C0020456,1
1962,C3810100,1
55505,C0162839,0
4853,C0242594,0
2539,C1844376,1
50485,C0268731,1
4647,C1384666,1
207,C0016059,1
54714,C1849792,1
113278,C0796274,1
53347,C0566602,1
55112,C3151000,0
9570,C0751779,1
7879,C3806412,0
3643,C0002395,1
965,C3275438,0
113878,C2748515,0
1287,C1567744,1
270,C2931781,1
26022,C0033999,0
54541,C1838652,0
22807,C2673635,0
7169,C0752282,1
196,C1847530,0
1493,C3280781,0
5428,C1834846,1
125,C0026640,1
1482,C0685889,1
407975,C0005941,1
51741,C0027854,0
84444,C3888209,0
338917,C0268194,0
329,C0024473,0
3667,C0002152,1
9382,C4693472,0
2941,C0340834,0
5345,C3277671,0
9037,C0004352,1
50632,C0085580,1
51447,C0234373,0
8111,C1837471,0
79977,C2749757,0
23765,C1968556,0
4803,C0270715,1
11200,C2931456,1
6778,C0018671,1
140733,C0004352,1
5961,C0555206,0
8924,C0496956,1
3778,C0020542,1
693121,C1853354,0
27348,C0021367,0
313,C0878677,0
2982,C0040053,1
283446,C1510479,0
161582,C0022521,1
10238,C0376634,1
400935,C0752347,0
23512,C0206727,1
23250,C1800706,1
100048912,C2931822,1
7124,C0423712,1
10922,C1837845,0
115352,C1868114,0
5321,C0574080,0
8148,C0029463,1
5327,C0242698,1
9627,C3160718,1
834,C4225383,0
79731,C0086696,0
5744,C0013604,1
773,C0039538,0
5137,C3494162,0
5193,C3150700,0
3953,C0271650,1
406913,C1839264,0
80224,C0265265,0
488,C0376416,1
6648,C0030354,1
6138,C0039239,0
56006,C1969062,0
2857,C0031269,0
11186,C0024667,1
155,C0157743,0
1437,C0027947,1
30813,C0018179,1
90417,C3890168,0
10733,C0013336,1
10,C0005684,1
79602,C0234146,0
145226,C1843292,0
4087,C2697932,1
1508,C4225284,0
2078,C0026998,1
55286,C3542549,0
173,C4317089,0
3293,C2930618,1
64241,C0268318,1
1471,C0022658,1
6748,C3280729,0
55971,C1708353,0
64866,C2750450,0
3446,C0026613,0
2581,C0011880,0
4843,C0023895,1
54585,C1611706,0
1858,C1848097,0
7272,C0032460,1
8629,C1857253,0
6281,C3808889,0
254528,C0272137,0
57212,C3810129,0
7252,C0009421,1
51586,C0036337,1
90,C1863753,0
1312,C4046029,1
5216,C0002792,0
5981,C0029463,1
5972,C0002871,1
6774,C3489795,1
1026,C0205875,1
5077,C0018566,1
3858,C4225226,0
153,C0151744,1
6557,C1837154,0
51086,C3495676,1
2597,C0027540,1
8314,C2314896,1
25914,C1863999,0
1548,C0264393,1
55745,C4231118,0
3211,C1858717,1
8404,C0085423,0
3673,C1859877,0
847,C0242526,1
145873,C0265343,1
494337,C0034069,1
4204,C0751349,1
1440,C0034069,1
6647,C0002152,1
2707,C0002874,0
2911,C0221290,1
23178,C4748070,0
55102,C3275459,0
1770,C0037221,1
4734,C0014518,1
6337,C1449843,1
5376,C0751476,1
5860,C0013421,1
2702,C3279693,1
4053,C1832977,1
255928,C3280226,1
4780,C1449861,1
51527,C0265534,0
6908,C2673760,0
915,C4310766,0
149775,C0042373,0
126792,C1832168,0
2934,C1622345,1
64641,C0023487,0
5034,C1862178,1
574034,C2936349,0
3418,C0007682,1
84947,C1848578,0
57670,C4083008,0
558,C2676042,0
2952,C0034735,1
3953,C0020459,1
81034,C0796083,0
8517,C1845073,1
79974,C3887526,0
1135,C3696898,1
57165,C2750784,1
2208,C1327915,0
8799,C0268446,0
2632,C1856303,1
56270,C0264716,0
26228,C1449842,0
25945,C4013948,0
29128,C1859520,0
4318,C0162871,1
2199,C0751074,0
2582,C1833245,0
7072,C1837857,0
1174,C1859565,0
23774,C0022353,0
57412,C0005684,1
6790,C1257806,1
3581,C0751348,0
84894,C3150889,0
11342,C4048268,1
2019,C1859726,0
64412,C0345382,0
1537,C0221169,0
6774,C1968689,1
83943,C0014556,0
1639,C3203358,1
10518,C1568247,1
767,C2750509,1
84695,C0038131,0
6778,C2750737,0
29914,C0085220,0
3205,C0751954,0
1776,C0003873,1
64332,C0279637,0
9118,C3711390,0
8893,C1845292,0
5728,C1176475,1
3078,C0268743,1
7490,C0950122,1
79365,C0019207,0
261734,C0001175,0
5190,C3658299,1
11127,C3280030,0
6285,C3808953,0
5293,C0743002,0
4830,C4012409,0
442911,C2931822,1
1958,C0007786,1
91752,C0021843,0
336,C3151295,0
81552,C0279607,0
3621,C0280313,1
6716,C0206160,0
55740,C3552343,0
6658,C2936419,1
8622,C1320474,1
23592,C0152423,1
8076,C0085136,0
121340,C0079154,0
1301,C0265235,1
283463,C1859148,0
5728,C0000772,1
1440,C0149925,1
23171,C2748542,1
5315,C4012790,0
1026,C0345967,1
10907,C1969060,0
4211,C0349255,1
958,C0021655,1
372,C2931788,0
3481,C0027708,1
4524,C0011999,1
1392,C0038220,1
761,C1835897,0
5833,C0221074,0
1192,C0022548,1
1813,C0221169,1
4982,C1866282,0
890,C3149378,0
55768,C3806932,0
6558,C0024667,1
3868,C0343110,1
10345,C1631597,1
8312,C1859353,0
122042,C0010417,1
406914,C0153619,0
54903,C0014553,0
1500,C0001175,0
6839,C2931002,0
639,C0009324,1
6319,C0267211,0
1783,C3495588,0
60558,C4310737,1
387,C0238198,1
131890,C1850792,0
55532,C0410916,0
7019,C0002395,1
6299,C4551481,1
2261,C0036631,1
54739,C3808874,0
10587,C0546878,0
4771,C1384406,1
1053,C0019243,0
3880,C4310782,0
6770,C0014170,1
472,C0009405,1
2020,C1864436,0
28964,C0041671,1
23532,C0205944,1
149233,C0030246,1
5443,C0022672,1
406918,C2931019,0
6314,C0087012,1
84433,C0011615,1
9733,C1527168,0
285,C2677299,0
2263,C0154060,1
79955,C1848634,1
406884,C4225188,0
8239,C2931498,1
57679,C0002893,0
2623,C2713368,1
10420,C0028949,0
10875,C0751402,0
4644,C1859194,1
1280,C1852989,1
1292,C1850671,1
551,C0149925,1
2322,C0023487,1
84152,C0013384,1
84984,C0013481,0
545,C0017638,1
9128,C0427201,0
9581,C3890167,0
64446,C1970470,0
140032,C0020981,0
4303,C0025322,1
7755,C4049767,0
6862,C4225205,0
4535,C3810023,0
2185,C1859598,0
598,C0431664,1
55612,C0158489,0
2919,C2673642,0
2521,C2750729,1
1869,C0282550,0
7015,C0017638,1
624,C0033141,1
6932,C4539954,0
8787,C4225377,0
5327,C0751010,1
5743,C0026640,1
28395,C0150080,0
23241,C4237474,1
58498,C4540559,0
256472,C3150998,0
51738,C0005974,1
51807,C0085423,0
23424,C0017601,1
4846,C0000832,1
407018,C4551478,0
120114,C3892048,0
6279,C0337210,0
1438,C1854336,0
3118,C0003873,1
7503,C1837518,0
84295,C0014556,0
4692,C0265222,1
767,C0394006,1
23221,C4693899,1
6662,C1861923,1
4773,C0271287,0
25840,C0022906,0
5530,C1857242,0
10533,C0023380,1
223117,C4015552,0
1951,C1960469,0
7039,C0030246,1
1565,C0677050,1
55687,C3278664,1
1297,C0038015,1
288,C0033300,1
1565,C0234372,1
8622,C1836694,1
6513,C0020453,0
1559,C0033141,1
101101692,C4551775,0
4117,C3280042,1
54884,C0240327,0
367,C0021364,1
9949,C0040038,0
5837,C0035313,0
4838,C1282974,0
79651,C0751144,0
6446,C0340493,0
7703,C1834478,0
50615,C3891448,0
406932,C0009081,0
6647,C0004096,1
2992,C3554209,0
7450,C1335107,0
267012,C2363129,0
2100,C0020455,0
6622,C0019202,1
57586,C0042749,0
342977,C4540171,0
7280,C0022336,1
55215,C1854021,0
84281,C0268556,0
405,C0023890,1
10000,C1955869,1
8726,C0265210,1
51593,C1841721,0
781,C0264893,1
5325,C4693810,0
406967,C4310753,0
5897,C1867362,1
339829,C0007177,0
100126355,C0030443,0
29785,C0268344,0
558,C0027659,1
55289,C0752308,0
84871,C0013146,1
729330,C0042594,1
7869,C0020877,0
51750,C0017638,1
5621,C2362914,1
43,C0018273,1
8517,C1859301,0
1235,C0005684,0
5925,C0007786,1
8125,C1838260,0
139189,C0282527,0
81608,C1858991,0
4635,C4310636,1
23568,C0002874,0
2348,C0162848,0
8621,C1333432,0
498,C0086650,0
3358,C0009171,1
4924,C0795927,0
55072,C3553288,0
5979,C0007115,1
183,C0007192,1
3012,C2675521,0
5832,C0268350,1
3161,C0023473,1
7040,C0024115,1
3903,C1857761,0
10157,C2677079,0
7124,C0005684,1
8749,C1321872,1
4843,C0376416,1
283375,C4014762,1
57502,C1845334,1
4108,C0042510,0
171511,C0004153,0
4988,C0035229,1
5209,C0151744,1
3605,C0031149,0
60529,C0265534,1
6687,C0278115,1
7421,C0014556,1
145258,C0376634,1
889,C1956260,1
3119,C0376329,1
8797,C0341306,0
348938,C0949595,0
6416,C0013274,0
5592,C0751372,1
6307,C4085252,0
652,C0344453,1
134701,C4324314,0
3159,C1865018,0
6046,C0948008,0
274,C0175709,1
3500,C0027121,1
2556,C4011974,0
3482,C0752347,1
3098,C0852413,1
729920,C0020255,1
2936,C0242422,1
29089,C4084840,1
220202,C0266568,1
112755,C0009952,1
7042,C0162872,1
1559,C0750384,1
397,C0948089,1
5328,C0017661,1
5831,C0432255,1
10397,C0026640,1
79867,C3665358,0
1233,C0751636,0
9148,C0740394,0
253782,C3150910,0
3039,C3665425,1
23213,C0035328,0
43,C3494247,1
2852,C0019294,0
201163,C2931246,1
3091,C1449861,1
9927,C1836485,1
4842,C0745744,1
84623,C3151190,0
139285,C4551959,0
161497,C1970187,1
60681,C1859709,1
79991,C2677299,1
2070,C1405854,0
3475,C4225322,0
3516,C4518774,0
222256,C1836681,0
6575,C0015371,1
103,C0013421,1
526,C4275060,0
55636,C0162809,1
3043,C0272080,1
2950,C0577631,1
8557,C1853162,0
26060,C0395941,0
1499,C0206624,1
1804,C2720289,0
1948,C0086873,0
2773,C0236795,1
9997,C1292775,0
7298,C0040411,1
731,C0016057,0
5376,C0558846,1
7253,C4722330,1
4478,C4310812,1
2074,C3151063,1
111,C4751505,0
2668,C0017636,1
51085,C1857276,0
7157,C0428791,1
3625,C3809665,0
221656,C0004238,1
3577,C2936406,0
1938,C3809346,0
51271,C3150975,0
701,C4693420,0
22926,C0265309,0
6733,C4275062,0
221656,C2751778,0
729920,C0009451,1
5733,C3808800,0
7291,C2675711,0
2294,C2677362,1
7252,C0039841,0
30817,C0004681,0
5495,C1848030,1
25970,C3150702,1
8838,C1860119,0
8698,C1840390,0
4638,C0042373,1
5605,C3809007,1
10806,C0752166,1
8726,C0027809,1
5420,C0600178,1
23461,C1970107,0
5241,C1384406,1
124401,C0037221,1
26577,C0236733,1
286,C0026919,0
64778,C4225211,0
4640,C0043119,0
8140,C0031046,0
9175,C3888309,0
2689,C0175693,1
10269,C0024689,1
5338,C0029342,1
10083,C0015397,1
1053,C4551556,1
6663,C1656427,1
26276,C3810170,0
6228,C0015404,0
4988,C0020651,1
4577,C3554638,0
94081,C0152013,1
57447,C3887892,0
1879,C2936858,0
51715,C1852222,0
90993,C0016781,0
3690,C3887640,1
54880,C0023487,1
81552,C3661519,0
57560,C0011436,0
650,C0030044,1
4831,C0021139,0
23545,C1857451,0
284098,C0018193,0
2322,C1852989,0
54714,C0751042,1
9334,C0087031,1
923,C1864861,0
171023,C1862596,0
57608,C0233608,0
90355,C0024232,1
9837,C0015934,1
2695,C0454576,0
8893,C4551857,0
80312,C1850040,0
2737,C0265553,1
23020,C1835895,1
9026,C0206754,0
5445,C0265287,0
9152,C0006111,1
6530,C2063866,1
9021,C4540299,0
3745,C0019284,1
3739,C0011616,0
4792,C1846006,1
9771,C2750448,0
5693,C0015499,0
25796,C0751173,0
57572,C2931779,1
7490,C3151568,1
6777,C0205824,0
51741,C1510502,0
10395,C2931875,0
3691,C0282160,1
64780,C1836010,0
56160,C0427055,0
5601,C0393787,1
22930,C1838625,1
7421,C0263477,1
3251,C0023374,1
6569,C0026141,1
9928,C3714506,1
80199,C0555206,1
6575,C3469528,0
92667,C0235063,1
10715,C1838192,0
113278,C1848201,0
5170,C0751513,0
9702,C0035021,0
7512,C0553980,0
11253,C3280127,1
2202,C4693899,0
3875,C0596298,0
9332,C0577631,1
5837,C0017924,1
8434,C0017636,1
9698,C0004134,1
6997,C0078982,1
3953,C3489396,1
9314,C3806482,0
55572,C0949855,1
8945,C1531773,0
25981,C1970822,0
51322,C3159322,0
8604,C4225399,0
2562,C0541798,1
6915,C0034065,1
86614,C1833511,0
894,C0020255,1
6774,C3887645,1
3684,C0021655,1
26580,C0221032,1
11284,C1563696,1
3605,C0549463,1
51755,C0085652,0
5213,C0234462,0
3440,C0032463,1
4720,C0751365,0
8440,C0236795,0
59,C4042763,0
3131,C0023452,1
28982,C0240543,0
407053,C4016701,0
246329,C3711543,0
83729,C1970237,0
3663,C1258104,1
257202,C4274079,0
10683,C0000768,1
10558,C0020071,1
1588,C3150654,0
3482,C0272126,0
29071,C3809606,0
80714,C1274879,0
25942,C0017416,0
1437,C4015610,0
388585,C1848947,0
54205,C0033937,0
112755,C4015395,1
2120,C1832388,1
10265,C3150127,0
11322,C3151295,0
7473,C2931216,1
29081,C1846135,0
1437,C0013221,1
2222,C0018614,1
5787,C3275898,0
57679,C0334578,0
23322,C0268060,0
8927,C2749020,0
960,C0032580,1
2638,C0003873,1
7274,C0752256,1
146206,C1835084,0
5621,C0022336,1
5529,C1449861,1
5530,C0345427,0
94,C0554591,0
145873,C1853296,1
6714,C4310789,1
5721,C0019693,1
2147,C0015695,1
4255,C1334261,0
10763,C0017181,0
1580,C0030848,0
2520,C1565321,1
9518,C0026636,1
5328,C0001418,1
8826,C2936921,0
144811,C3542499,0
10133,C1846357,0
1827,C0003873,1
6752,C1845181,0
4585,C3501843,0
5362,C0338908,1
3239,C0265312,1
2247,C0033054,1
8514,C2751492,0
79158,C2751322,0
5443,C0027540,1
3643,C0029455,0
406988,C0024667,1
5230,C0282220,0
6440,C0019284,1
4763,C0023418,1
9187,C0339535,1
1401,C4539903,0
56475,C0004763,1
55072,C0265333,0
60674,C1843256,0
6857,C1850362,0
10472,C4706583,0
713,C1855900,0
2633,C1257915,0
158326,C4551902,1
388585,C4511056,0
29123,C0751506,0
23081,C0009075,1
540,C1527384,0
9927,C0018800,1
51320,C4721890,0
4048,C3495483,0
55706,C1865915,0
4924,C4082301,0
6262,C0039231,1
79644,C2675112,0
2741,C0743332,1
6155,C1260899,1
406974,C0271527,0
23287,C4748934,1
4149,C1257877,1
724022,C2673609,0
64127,C4707825,0
7015,C0026998,1
1435,C0029401,1
8728,C1720796,0
1398,C0751197,0
3081,C0202220,0
1132,C1861316,0
8517,C0400966,1
6839,C0007621,1
5819,C0750945,0
1644,C1291564,1
10518,C0015397,1
27245,C1852989,0
81603,C0796206,0
2208,C1260386,0
10409,C3805375,0
5979,C1859049,1
2548,C4054695,0
1392,C4479636,0
55779,C2677099,0
2915,C0042656,1
6497,C1842870,1
407022,C0002395,1
25828,C4721889,0
128637,C4551979,0
759,C4225313,0
55729,C0153594,1
7015,C1148551,1
4854,C3809084,1
3074,C1849321,1
8100,C1836573,0
3845,C0917804,1
5376,C3495591,1
9071,C0599973,0
692157,C0376329,1
51090,C1969799,0
3032,C1969443,1
348980,C4014531,1
7441,C3808844,0
6578,C0029411,1
6774,C0206180,1
6769,C0162820,1
100359402,C3494247,0
6751,C0086648,0
9364,C1832615,0
6337,C0027658,1
3596,C1836743,0
9499,C3714934,1
200373,C0020951,0
2309,C4747850,0
83667,C0019209,1
3866,C0393540,0
5828,C0282525,1
63929,C0040053,0
84529,C0271934,1
10979,C1970236,0
56203,C0033575,0
3052,C0796070,1
8815,C3151446,1
2956,C4552100,1
4968,C0751208,1
157570,C0029458,0
3426,C4478871,0
285203,C4551482,1
5296,C1835677,0
2740,C0027651,1
8701,C0005745,0
4170,C0023281,1
6326,C0149886,1
91754,C3502417,0
8031,C4479577,0
23233,C3150990,0
2395,C0004138,1
2542,C0153601,0
5317,C0751435,0
5970,C0041956,1
163486,C0008312,1
10758,C3554449,0
3440,C0027947,1
1848,C1865832,0
8825,C2675496,0
100422821,C0234529,0
1440,C0027947,1
4288,C4748135,0
5309,C0751377,1
